"position","game_title"
"1","The Witcher 3: Wild Hunt"
"2","Pokemon Red Version"
"3","Minecraft"
"4","Grand Theft Auto V"
"5","Red Dead Redemption"
"6","The Legend Of Zelda: Breath Of The Wild"
"7","The Last of Us"
"8","Super Mario 64"
"9","Halo: Combat Evolved"
"10","The Legend of Zelda: Ocarina of Time"
"11","Super Smash Bros. Melee"
"12","Red Dead Redemption II"
"13","God of War (2005)"
"14","Doom"
"15","The Legend of Zelda: Majora's Mask"
"16","Mario Kart 64"
"17","GoldenEye 007"
"18","Super Smash Bros."
"19","Fallout: New Vegas"
"20","Call of Duty: Modern Warfare 2"
"21","Grand Theft Auto: San Andreas"
"22","Super Mario World"
"23","Metal Gear Solid"
"24","Pokemon Gold Version"
"25","Halo 3"
